mandaty,num,nazwa,pis,ko,lew,psl,konf
12,1,Legnica,42.4,25.02,16.43,7.17,5.85
8,2,Wałbrzych,40.54,32.09,12.35,7.25,5.42
14,3,Wrocław,34.67,32.8,15.41,6.46,7.45
12,4,Bydgoszcz,36.43,31.05,15.17,9.02,7.05
13,5,Toruń,40.38,26.42,14.83,10.88,6.33
15,6,Lublin,55.39,19.3,7.81,9.1,7.07
12,7,Chełm,59.5,14.8,6.83,11.86,5.84
12,8,Zielona Góra,34.3,31.27,15.61,11.63,7.19
10,9,Łódź,32.9,35.82,20.1,4.53,6.65
9,10,Piotrków Trybunalski,56.21,15.64,10.95,10.44,6.76
12,11,Sieradz,49.81,20.48,11.98,10.29,5.88
8,12,Kraków I,53.48,23.04,8.51,7.9,7.06
14,13,Kraków II,39.56,30.48,13.01,7.27,7.99
10,14,Nowy Sącz,65.8,13.83,6.07,7.35,6.95
9,15,Tarnów,59.59,14,5.94,13.35,7.11
10,16,Płock,52.45,16.85,8.76,15.17,5.24
9,17,Radom,57.82,17.15,7.43,10.2,5.89
12,18,Siedlce,59.76,13.94,6.45,11.94,6.49
20,19,Warszawa I,27.49,42.05,18.19,4.75,7.51
12,20,Warszawa II,40.89,28.61,13.09,8.6,6.63
11,21,Opole,37.64,26.71,11.74,10.31,5.7
11,22,Krosno,63.36,15.94,6.04,7.85,6.81
15,23,Rzeszów,62.38,14.39,6.59,7.79,8.25
14,24,Białystok,52.04,21.04,9.09,9.33,6.96
12,25,Gdańsk,32.1,41.31,13.47,5.9,7.21
14,26,Słupsk,36.43,35.85,12.47,7.94,7.3
9,27,Bielsko-Biała I,46.76,27.2,11.48,7.13,7.42
7,28,Częstochowa,44.28,22.63,15.59,8.68,6.07
9,29,Katowice I,37.75,32.61,13.38,5.99,7.67
9,30,Bielsko-Biała II,48.28,27.71,9.68,5.64,7.17
12,31,Katowice II,39.19,37.2,11.92,4.37,7.33
9,32,Katowice III,37.13,29.66,21.9,4.85,6.45
16,33,Kielce,55.18,16.65,9.95,9.88,5.95
8,34,Elbląg,40.86,28.43,11.64,10.89,5.66
10,35,Olsztyn,38.82,26.46,13.84,13.19,6.97
12,36,Kalisz,42.48,24.72,13.43,12.8,6.57
9,37,Konin,47.29,20.48,15.04,9.81,6.74
9,38,Piła,35.64,30.6,13.28,13.86,6.62
10,39,Poznań,25.33,45.38,16.49,6.2,6.61
8,40,Koszalin,36.83,32.31,15.44,9.43,5.98
12,41,Szczecin,35.11,35.71,15.25,7.4,6.53
