okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
1,Legnica,5,4,1,1,1,0
2,Wa³brzych,3,4,0,0,1,0
3,Wroc³aw,5,6,1,1,1,0
4,Bydgoszcz,4,5,1,1,1,0
5,Toruñ,5,4,2,1,1,0
6,Lublin,8,3,1,2,1,0
7,Che³m,8,2,1,1,0,0
8,Zielona Góra,4,5,1,1,1,0
9,£ódŸ,3,5,0,1,1,0
10,Piotrków Trybunalski,5,2,1,1,0,0
11,Sieradz,6,3,1,1,1,0
12,Kraków I,5,2,0,1,0,0
13,Kraków II,5,5,1,2,1,0
14,Nowy S¹cz,7,1,1,1,0,0
15,Tarnów,6,1,1,1,0,0
16,P³ock,5,2,2,1,0,0
17,Radom,5,2,1,1,0,0
18,Siedlce,8,2,1,1,0,0
19,Warszawa I,5,9,1,2,3,0
20,Warszawa II,5,4,1,1,1,0
21,Opole,4,4,1,1,1,0
22,Krosno,7,2,1,1,0,0
23,Rzeszów,10,2,1,2,0,0
24,Bia³ystok,7,4,1,1,1,0
25,Gdañsk,3,6,1,1,1,0
26,S³upsk,5,6,1,1,1,0
27,Bielsko-Bia³a I,4,3,0,1,1,0
28,Czêstochowa,3,2,0,1,1,0
29,Katowice I,3,4,0,1,1,0
30,Bielsko-Bia³a II,5,3,0,1,0,0
31,Katowice II,5,5,0,1,1,0
32,Katowice III,3,3,0,1,2,0
33,Kielce,9,3,2,1,1,0
34,Elbl¹g,3,3,1,1,0,0
35,Olsztyn,4,3,1,1,1,0
36,Kalisz,5,3,2,1,1,0
37,Konin,4,2,1,1,1,0
38,Pi³a,3,3,1,1,1,0
39,Poznañ,2,6,0,1,1,0
40,Koszalin,3,3,1,0,1,0
41,Szczecin,4,5,1,1,1,0
1,Legnica,5,4,1,1,1,1
2,Wa³brzych,3,4,1,0,0,1
3,Wroc³aw,5,6,1,1,1,1
4,Bydgoszcz,4,5,1,1,1,1
5,Toruñ,5,4,2,1,1,1
6,Lublin,8,3,1,2,1,1
7,Che³m,7,2,2,1,0,1
8,Zielona Góra,4,5,1,1,1,1
9,£ódŸ,3,5,0,1,1,1
10,Piotrków Trybunalski,5,2,1,1,0,1
11,Sieradz,6,3,1,1,1,1
12,Kraków I,4,2,1,1,0,1
13,Kraków II,5,5,1,2,1,1
14,Nowy S¹cz,7,1,1,1,0,1
15,Tarnów,6,1,1,1,0,1
16,P³ock,5,2,2,1,0,1
17,Radom,5,2,1,1,0,1
18,Siedlce,7,2,2,1,0,1
19,Warszawa I,5,10,1,2,2,1
20,Warszawa II,5,4,1,1,1,1
21,Opole,4,4,1,1,1,1
22,Krosno,7,2,1,1,0,1
23,Rzeszów,10,2,1,2,0,1
24,Bia³ystok,7,4,1,1,1,1
25,Gdañsk,3,6,1,1,1,1
26,S³upsk,5,6,1,1,1,1
27,Bielsko-Bia³a I,4,3,1,1,0,1
28,Czêstochowa,3,2,1,0,1,1
29,Katowice I,3,4,0,1,1,1
30,Bielsko-Bia³a II,5,3,0,1,0,1
31,Katowice II,4,6,0,1,1,1
32,Katowice III,3,4,0,1,1,1
33,Kielce,9,3,2,1,1,1
34,Elbl¹g,3,3,1,1,0,1
35,Olsztyn,4,3,1,1,1,1
36,Kalisz,5,3,2,1,1,1
37,Konin,4,2,1,1,1,1
38,Pi³a,3,3,1,1,1,1
39,Poznañ,2,6,0,1,1,1
40,Koszalin,3,3,1,0,1,1
41,Szczecin,4,5,1,1,1,1
1,Legnica,5,4,1,1,1,2
2,Wa³brzych,3,3,1,0,1,2
3,Wroc³aw,5,6,1,1,1,2
4,Bydgoszcz,4,5,1,1,1,2
5,Toruñ,5,4,2,1,1,2
6,Lublin,9,3,1,1,1,2
7,Che³m,7,2,2,1,0,2
8,Zielona Góra,4,4,2,1,1,2
9,£ódŸ,3,4,0,1,2,2
10,Piotrków Trybunalski,5,2,1,1,0,2
11,Sieradz,6,3,1,1,1,2
12,Kraków I,4,2,1,1,0,2
13,Kraków II,6,5,1,1,1,2
14,Nowy S¹cz,7,1,1,1,0,2
15,Tarnów,6,1,1,1,0,2
16,P³ock,5,2,2,1,0,2
17,Radom,5,2,1,1,0,2
18,Siedlce,7,2,2,1,0,2
19,Warszawa I,5,9,1,2,3,2
20,Warszawa II,5,4,1,1,1,2
21,Opole,4,4,1,1,1,2
22,Krosno,7,2,1,1,0,2
23,Rzeszów,10,2,1,2,0,2
24,Bia³ystok,8,3,1,1,1,2
25,Gdañsk,3,6,1,1,1,2
26,S³upsk,5,6,1,1,1,2
27,Bielsko-Bia³a I,4,3,1,1,0,2
28,Czêstochowa,3,2,1,0,1,2
29,Katowice I,3,4,0,1,1,2
30,Bielsko-Bia³a II,5,3,0,1,0,2
31,Katowice II,5,5,0,1,1,2
32,Katowice III,3,3,0,1,2,2
33,Kielce,9,3,2,1,1,2
34,Elbl¹g,3,3,1,0,1,2
35,Olsztyn,4,3,1,1,1,2
36,Kalisz,5,3,2,1,1,2
37,Konin,4,2,1,1,1,2
38,Pi³a,3,3,1,1,1,2
39,Poznañ,2,5,1,1,1,2
40,Koszalin,3,3,1,0,1,2
41,Szczecin,4,5,1,1,1,2
1,Legnica,5,4,1,1,1,3
2,Wa³brzych,4,3,0,0,1,3
3,Wroc³aw,5,6,1,1,1,3
4,Bydgoszcz,4,5,1,1,1,3
5,Toruñ,5,4,2,1,1,3
6,Lublin,9,3,1,1,1,3
7,Che³m,8,2,1,1,0,3
8,Zielona Góra,4,5,1,1,1,3
9,£ódŸ,3,5,0,1,1,3
10,Piotrków Trybunalski,5,2,1,1,0,3
11,Sieradz,6,3,1,1,1,3
12,Kraków I,5,2,0,1,0,3
13,Kraków II,6,5,1,1,1,3
14,Nowy S¹cz,7,1,1,1,0,3
15,Tarnów,6,1,1,1,0,3
16,P³ock,5,2,2,1,0,3
17,Radom,5,2,1,1,0,3
18,Siedlce,8,2,1,1,0,3
19,Warszawa I,5,9,1,2,3,3
20,Warszawa II,5,4,1,1,1,3
21,Opole,4,4,1,1,1,3
22,Krosno,7,2,1,1,0,3
23,Rzeszów,10,2,1,2,0,3
24,Bia³ystok,8,3,1,1,1,3
25,Gdañsk,3,6,1,1,1,3
26,S³upsk,5,6,1,1,1,3
27,Bielsko-Bia³a I,4,3,0,1,1,3
28,Czêstochowa,3,2,1,0,1,3
29,Katowice I,3,4,0,1,1,3
30,Bielsko-Bia³a II,5,3,0,1,0,3
31,Katowice II,5,5,0,1,1,3
32,Katowice III,3,3,0,1,2,3
33,Kielce,9,3,2,1,1,3
34,Elbl¹g,3,3,1,0,1,3
35,Olsztyn,4,3,1,1,1,3
36,Kalisz,5,3,2,1,1,3
37,Konin,4,2,1,1,1,3
38,Pi³a,3,3,1,1,1,3
39,Poznañ,2,6,0,1,1,3
40,Koszalin,3,3,1,0,1,3
41,Szczecin,4,5,1,1,1,3
1,Legnica,5,4,1,1,1,4
2,Wa³brzych,3,3,0,1,1,4
3,Wroc³aw,4,6,1,2,1,4
4,Bydgoszcz,4,5,1,1,1,4
5,Toruñ,5,4,2,1,1,4
6,Lublin,8,3,1,2,1,4
7,Che³m,7,2,2,1,0,4
8,Zielona Góra,4,5,1,1,1,4
9,£ódŸ,3,4,0,1,2,4
10,Piotrków Trybunalski,5,2,1,1,0,4
11,Sieradz,6,3,1,1,1,4
12,Kraków I,4,2,1,1,0,4
13,Kraków II,5,5,1,2,1,4
14,Nowy S¹cz,6,2,1,1,0,4
15,Tarnów,6,1,1,1,0,4
16,P³ock,5,2,2,1,0,4
17,Radom,5,2,1,1,0,4
18,Siedlce,7,2,2,1,0,4
19,Warszawa I,4,10,1,2,3,4
20,Warszawa II,5,4,1,1,1,4
21,Opole,4,4,1,1,1,4
22,Krosno,7,2,1,1,0,4
23,Rzeszów,9,3,1,2,0,4
24,Bia³ystok,7,3,1,2,1,4
25,Gdañsk,3,6,1,1,1,4
26,S³upsk,4,6,1,2,1,4
27,Bielsko-Bia³a I,4,3,0,1,1,4
28,Czêstochowa,3,2,0,1,1,4
29,Katowice I,3,4,0,1,1,4
30,Bielsko-Bia³a II,5,3,0,1,0,4
31,Katowice II,4,6,0,1,1,4
32,Katowice III,3,3,0,1,2,4
33,Kielce,8,3,2,2,1,4
34,Elbl¹g,3,3,1,1,0,4
35,Olsztyn,4,3,1,1,1,4
36,Kalisz,4,4,2,1,1,4
37,Konin,4,2,1,1,1,4
38,Pi³a,3,3,1,1,1,4
39,Poznañ,2,6,0,1,1,4
40,Koszalin,2,3,1,1,1,4
41,Szczecin,4,5,1,1,1,4
1,Legnica,5,4,1,1,1,5
2,Wa³brzych,4,3,1,0,0,5
