okr_num,nazwa,pis,ko,psl,konf,lew,sym_nr
1,Legnica,36.573,27.97,8.15,9.472,12.341,0
2,Wa³brzych,34.242,35.046,8.514,8.696,9.271,0
3,Wroc³aw,29.774,35.875,7.881,11.542,11.499,0
4,Bydgoszcz,31.144,33.67,10.234,11.1,11.371,0
5,Toruñ,34.745,29.015,12.026,10.003,11.19,0
6,Lublin,48.369,20.702,9.998,11.422,5.955,0
7,Che³m,51.767,16.144,12.812,9.461,5.434,0
8,Zielona Góra,29.249,33.834,12.927,11.255,11.605,0
9,£ódŸ,28.398,38.129,5.733,10.357,14.894,0
10,Piotrków Trybunalski,48.867,17.371,11.373,10.779,8.226,0
11,Sieradz,42.877,23.082,11.253,9.505,9.074,0
12,Kraków I,46.308,24.693,9.036,11.111,6.328,0
13,Kraków II,34.246,32.344,8.531,12.74,9.622,0
14,Nowy S¹cz,57.396,15.42,7.995,10.989,4.429,0
15,Tarnów,51.822,15.847,14.307,11.166,4.36,0
16,P³ock,45.982,18.274,16.366,8.797,7.061,0
17,Radom,50.146,19.697,11.18,9.516,5.753,0
18,Siedlce,52.225,15.802,12.876,10.48,4.932,0
19,Warszawa I,23.91,43.978,6.209,11.909,13.278,0
20,Warszawa II,35.355,31.249,9.897,10.635,9.664,0
21,Opole,31.579,29.231,11.569,9.006,8.646,0
22,Krosno,55.013,17.294,8.696,10.834,4.714,0
23,Rzeszów,54.418,15.538,8.648,13.027,5.006,0
24,Bia³ystok,45.432,22.9,10.483,11.0,6.936,0
25,Gdañsk,27.312,43.426,7.432,11.277,9.867,0
26,S³upsk,31.144,38.151,9.368,11.376,9.335,0
27,Bielsko-Bia³a I,40.423,29.297,8.118,11.809,8.508,0
28,Czêstochowa,38.315,24.987,9.661,9.715,11.894,0
29,Katowice I,32.246,35.134,7.204,12.086,10.119,0
30,Bielsko-Bia³a II,41.347,29.977,6.923,11.232,7.25,0
31,Katowice II,33.122,39.459,5.605,11.709,8.742,0
