sym_nr,pis,ko,psl,konf,lew,bs,inni
0,37.78,29.485,9.743,10.424,9.563,2.276,0.73
1,38.248,30.343,8.988,10.421,8.27,2.526,1.205
2,38.029,29.031,10.596,10.622,9.027,2.138,0.557
3,38.423,27.995,10.141,12.162,9.182,1.263,0.835
4,39.052,28.193,10.87,9.59,9.866,1.969,0.46
5,34.89,32.633,9.172,10.365,8.736,3.267,0.938
6,40.993,27.096,9.213,10.692,9.651,1.921,0.433
7,36.207,29.719,10.141,10.098,10.975,2.156,0.704
8,36.551,28.884,10.454,11.248,10.509,1.329,1.026
9,37.198,29.094,9.346,10.603,10.629,2.533,0.597
10,37.813,29.263,9.628,9.597,10.232,2.647,0.819
11,36.551,28.99,10.338,11.735,9.439,1.923,1.024
12,36.795,30.93,9.296,11.019,8.146,2.899,0.914
13,35.236,29.36,10.335,11.794,10.651,1.698,0.926
14,37.842,29.442,9.215,11.578,8.997,2.408,0.518
15,38.602,29.866,9.237,9.558,9.491,2.413,0.832
16,38.675,27.973,10.392,11.206,8.443,2.918,0.393
17,36.64,31.011,9.546,9.888,9.575,2.94,0.401
18,36.009,31.149,10.84,9.818,9.363,1.945,0.876
19,37.883,28.56,9.677,10.304,9.733,2.725,1.118
20,36.626,28.192,11.634,9.817,10.808,2.181,0.742
21,39.178,28.819,10.297,9.972,8.646,2.081,1.006
22,36.875,29.465,10.08,11.632,8.883,2.649,0.417
23,37.26,28.721,10.43,11.385,9.944,2.078,0.182
24,34.827,31.687,10.281,10.143,9.729,2.716,0.616
25,39.746,27.749,10.284,10.318,8.723,2.686,0.494
26,36.813,29.492,10.141,10.946,10.203,1.917,0.489
27,36.397,32.299,8.339,8.999,9.901,3.222,0.843
28,38.131,30.387,9.434,9.411,9.573,2.385,0.68
29,38.326,29.419,10.157,10.657,9.005,1.78,0.656
30,34.768,31.088,10.029,11.82,9.363,2.607,0.326
31,37.142,29.948,9.597,10.059,10.126,2.266,0.863
32,38.337,30.024,9.083,11.081,7.808,2.818,0.849
33,40.065,28.738,11.599,8.856,7.473,1.985,1.284
34,38.083,29.127,10.177,9.467,9.896,2.414,0.835
35,36.56,31.403,9.507,9.433,10.106,2.244,0.746
36,37.974,29.463,9.514,11.102,8.735,2.634,0.578
37,37.638,29.655,8.963,10.534,9.525,2.739,0.945
38,37.752,29.047,10.351,10.414,9.082,3.026,0.328
39,37.279,30.476,11.495,9.119,8.655,2.091,0.885
40,36.171,29.445,9.529,12.249,9.202,2.605,0.799
41,39.472,28.65,9.946,10.5,8.058,2.338,1.037
42,36.799,31.434,9.811,9.429,10.356,1.378,0.793
43,37.283,28.775,10.789,11.327,8.303,2.742,0.782
44,39.089,30.018,8.998,9.944,9.662,1.764,0.524
45,38.167,28.895,8.919,9.796,10.569,3.016,0.638
